Transaction_ID,Sender_ID,Receiver_ID,Amount,Timestamp,Location,Type
0b6c400c-311,arjun_508@ybl,amit_937@oksbi,1995.72,01-01-2024 11:14,Pune,Normal
e2b5601e-9cd,vikram_632@paytm,arjun_791@ybl,961.61,01-01-2024 15:39,Pune,Normal
79c0c5c7-e94,shop_b_539@paytm,shop_b_141@oksbi,1402.47,01-01-2024 14:28,Mumbai,Normal
1b8052bb-490,sneha_244@ybl,vikram_837@oksbi,1272.83,01-01-2024 10:21,Delhi,Normal
aa2f058c-92b,arjun_574@oksbi,priya_846@oksbi,1210.88,01-01-2024 12:30,Bangalore,Normal
7a3da2b8-43d,pooja_190@okhdfc,shop_b_824@oksbi,1611.99,01-01-2024 16:38,Bangalore,Normal
5027a7fe-f70,sneha_682@oksbi,pooja_247@oksbi,195.04,01-01-2024 15:04,Delhi,Normal
1163a687-559,vikram_448@paytm,sneha_228@ybl,1740.28,01-01-2024 15:23,Delhi,Normal
d9f7688c-c7b,pooja_728@paytm,arjun_942@ybl,657.21,01-01-2024 12:55,Delhi,Normal
3b4d35f0-4a7,pooja_603@oksbi,rahul_447@okhdfc,633.28,01-01-2024 19:49,Delhi,Normal
2724f710-ad2,shop_a_166@oksbi,amit_392@paytm,773.42,01-01-2024 14:49,Bangalore,Normal
e57233da-474,priya_923@oksbi,shop_a_455@ybl,524.56,01-01-2024 10:11,Delhi,Normal
40a27ae9-892,sneha_755@okhdfc,shop_a_816@ybl,665.65,01-01-2024 11:34,Bangalore,Normal
759d29e3-cf1,amit_542@ybl,shop_b_373@ybl,794.94,01-01-2024 17:02,Bangalore,Normal
5e011657-1ba,rahul_431@okhdfc,shop_b_500@ybl,1163.54,01-01-2024 16:27,Bangalore,Normal
37b5281b-b78,shop_b_876@paytm,sneha_437@oksbi,1558.15,01-01-2024 13:31,Pune,Normal
25bcf542-0f7,vikram_638@paytm,shop_b_151@paytm,730.24,01-01-2024 12:56,Bangalore,Normal
c49280f9-f6c,vikram_478@paytm,vikram_739@ybl,1534.24,01-01-2024 14:14,Delhi,Normal
c5bbba47-d04,shop_b_474@oksbi,vikram_791@paytm,758.53,01-01-2024 19:28,Mumbai,Normal
643a8f66-e7f,shop_a_299@ybl,rahul_988@okhdfc,1906.97,01-01-2024 10:01,Delhi,Normal
5723858a-328,priya_268@paytm,priya_348@paytm,1788.33,01-01-2024 15:16,Mumbai,Normal
cbb48a80-d60,priya_693@paytm,rahul_108@oksbi,1645.52,01-01-2024 13:50,Pune,Normal
b4d77da9-3ee,pooja_776@okhdfc,pooja_858@paytm,156.51,01-01-2024 19:51,Bangalore,Normal
e4978388-99d,rahul_984@paytm,priya_966@paytm,238.37,01-01-2024 12:25,Mumbai,Normal
55b648da-9b6,shop_a_952@paytm,priya_238@oksbi,1789.32,01-01-2024 13:10,Delhi,Normal
9ffd4f65-de8,shop_a_961@okhdfc,vikram_692@oksbi,1323,01-01-2024 13:10,Pune,Normal
3045c8f2-85c,pooja_347@oksbi,amit_923@okhdfc,1266.49,01-01-2024 17:55,Bangalore,Normal
90277d88-3b0,arjun_625@paytm,priya_139@paytm,1616.31,01-01-2024 12:44,Mumbai,Normal
7dec8bc4-1bc,arjun_729@paytm,sneha_243@okhdfc,1710.09,01-01-2024 17:31,Bangalore,Normal
2a570926-d6a,sneha_476@oksbi,shop_b_360@oksbi,1941.51,01-01-2024 12:07,Pune,Normal
bb38ca68-ca0,vikram_888@paytm,pooja_849@ybl,1795.16,01-01-2024 14:23,Pune,Normal
b46a6bd9-544,sneha_948@ybl,shop_a_745@okhdfc,306.65,01-01-2024 15:57,Pune,Normal
645a4bfc-fae,sneha_396@okhdfc,vikram_282@okhdfc,836.17,01-01-2024 15:50,Pune,Normal
74386d7c-80a,priya_606@paytm,vikram_193@ybl,1585.83,01-01-2024 13:02,Mumbai,Normal
91fa0a1c-ce8,arjun_991@ybl,shop_a_640@paytm,860.28,01-01-2024 18:50,Mumbai,Normal
fe5b2c44-1fa,priya_420@ybl,sneha_758@oksbi,1528.78,01-01-2024 15:36,Delhi,Normal
f187f89c-23d,shop_b_732@oksbi,amit_711@ybl,1749.04,01-01-2024 10:22,Delhi,Normal
e7326653-be6,sneha_107@oksbi,sneha_978@ybl,896.78,01-01-2024 18:40,Bangalore,Normal
14ded2a6-bce,shop_b_924@oksbi,amit_688@ybl,1100.91,01-01-2024 14:29,Mumbai,Normal
a90d8a38-a6a,pooja_454@ybl,sneha_244@okhdfc,1183.84,01-01-2024 13:51,Pune,Normal
976ff08f-2e7,rahul_540@oksbi,amit_919@ybl,1215.24,01-01-2024 12:47,Bangalore,Normal
4ec6645e-e76,pooja_306@oksbi,rahul_915@ybl,718.49,01-01-2024 17:02,Bangalore,Normal
58723e3b-6d8,priya_834@oksbi,vikram_421@okhdfc,1719.72,01-01-2024 19:27,Delhi,Normal
16b91dab-67f,amit_544@paytm,shop_a_715@okhdfc,930.8,01-01-2024 18:39,Mumbai,Normal
e4826b05-c5e,priya_482@ybl,shop_a_934@ybl,313.68,01-01-2024 13:36,Delhi,Normal
ceebc723-e90,priya_217@ybl,sneha_697@paytm,868.96,01-01-2024 15:43,Mumbai,Normal
c494547c-761,rahul_148@oksbi,sneha_443@okhdfc,1552.76,01-01-2024 11:35,Delhi,Normal
0407f82c-0ce,rahul_318@okhdfc,arjun_180@paytm,1998.77,01-01-2024 10:18,Mumbai,Normal
ec7f1a4d-97a,arjun_775@oksbi,priya_113@ybl,686.63,01-01-2024 18:06,Bangalore,Normal
81146fe6-552,shop_a_761@okhdfc,arjun_990@okhdfc,1013.77,01-01-2024 16:45,Delhi,Normal
813095fe-978,amit_784@okhdfc,vikram_463@paytm,1166.17,01-01-2024 18:04,Mumbai,Normal
b3fd94f3-e03,sneha_361@oksbi,shop_a_531@paytm,1992.61,01-01-2024 10:49,Delhi,Normal
d17f7917-e40,amit_459@okhdfc,pooja_866@oksbi,1571.29,01-01-2024 15:52,Pune,Normal
7a134d16-0d1,priya_300@ybl,rahul_329@ybl,1240.16,01-01-2024 16:17,Pune,Normal
db0ef6d5-58f,amit_769@paytm,shop_b_329@okhdfc,1997.91,01-01-2024 17:42,Delhi,Normal
d0b16eb8-ee1,rahul_955@oksbi,arjun_520@paytm,1477.55,01-01-2024 18:03,Bangalore,Normal
074e179e-9c7,shop_a_823@paytm,shop_b_560@okhdfc,381.3,01-01-2024 13:54,Delhi,Normal
45f6a8af-147,amit_122@ybl,shop_b_269@paytm,1719.83,01-01-2024 18:11,Mumbai,Normal
035e2af5-4b2,pooja_805@ybl,priya_151@oksbi,894.21,01-01-2024 17:30,Pune,Normal
f7216ee2-20d,pooja_575@ybl,vikram_924@oksbi,243.68,01-01-2024 17:44,Bangalore,Normal
377434be-470,amit_620@ybl,vikram_248@okhdfc,77.51,01-01-2024 12:21,Bangalore,Normal
e9fd5221-a5b,shop_b_581@paytm,shop_b_502@ybl,1117.43,01-01-2024 11:17,Delhi,Normal
8145d35a-dfe,pooja_291@oksbi,shop_b_251@oksbi,526.09,01-01-2024 13:16,Bangalore,Normal
229250cc-5cc,shop_a_404@ybl,shop_a_663@paytm,1479.58,01-01-2024 14:46,Bangalore,Normal
FRAUD_WEB_1497,priya_473@oksbi,SCAMMER_MULE@ybl,500,01-01-2024 12:03,Mumbai,Scam_Mule
02626788-e36,vikram_195@ybl,pooja_313@paytm,1737.53,01-01-2024 18:20,Bangalore,Normal
024294c8-9bd,vikram_457@oksbi,pooja_202@oksbi,807.69,01-01-2024 15:03,Bangalore,Normal
b137fc65-2ba,priya_386@oksbi,arjun_115@ybl,852.7,01-01-2024 11:50,Delhi,Normal
39b8a939-dee,rahul_518@oksbi,shop_b_471@okhdfc,1492.11,01-01-2024 12:16,Mumbai,Normal
d2bb0770-a1f,rahul_236@ybl,sneha_751@paytm,242.26,01-01-2024 10:10,Bangalore,Normal
965ad694-592,rahul_210@okhdfc,rahul_871@ybl,426.33,01-01-2024 14:07,Pune,Normal
8e802c59-780,vikram_840@oksbi,priya_366@oksbi,605.07,01-01-2024 16:51,Pune,Normal
3a1d9f3f-2d2,priya_425@okhdfc,shop_b_651@ybl,1715.44,01-01-2024 16:06,Mumbai,Normal
609b163e-fd7,vikram_665@ybl,shop_b_448@ybl,654.38,01-01-2024 10:21,Mumbai,Normal
5a41518d-c86,pooja_498@paytm,shop_a_547@ybl,686.04,01-01-2024 15:47,Bangalore,Normal
1c9f9d42-079,arjun_869@paytm,shop_b_365@okhdfc,906.39,01-01-2024 17:53,Delhi,Normal
383d0ffc-b51,vikram_741@oksbi,pooja_920@oksbi,63.55,01-01-2024 12:55,Mumbai,Normal
024110c1-4eb,vikram_966@oksbi,arjun_527@paytm,398.14,01-01-2024 11:15,Bangalore,Normal
62b6915f-0e4,rahul_583@okhdfc,rahul_871@paytm,1096.99,01-01-2024 17:31,Pune,Normal
9b415d30-c8c,amit_833@ybl,shop_a_909@paytm,348.1,01-01-2024 12:42,Mumbai,Normal
ca6384a4-002,arjun_374@oksbi,shop_b_129@oksbi,986.13,01-01-2024 11:40,Mumbai,Normal
0b31a2c6-33a,shop_b_856@ybl,vikram_816@okhdfc,1458.48,01-01-2024 10:43,Pune,Normal
bdea7f84-448,pooja_552@ybl,arjun_570@oksbi,1495.23,01-01-2024 14:56,Pune,Normal
